0,0,186.50000000,48.0
0,1,210.40000000,53.5
0,2,210.30000000,57.5
0,3,234.20000000,63.5
0,4,203.50000000,58.0
0,5,201.50000000,53.0
0,6,204.90000000,56.5
0,7,196.00000000,53.5
0,8,199.10000000,57.0
0,9,237.10000000,61.0
0,10,173.80000000,50.0
1,0,235.50000000,78.0
1,1,270.80000000,79.0
1,2,242.80000000,63.0
1,3,289.30000000,51.0
1,4,279.10000000,67.0
1,5,219.20000000,50.5
1,6,209.70000000,54.5
1,7,209.20000000,48.5
1,8,210.40000000,52.5
1,9,216.40000000,54.5
1,10,232.30000000,55.0
2,0,193.70000000,59.5
2,1,254.70000000,87.5
2,2,213.90000000,63.0
2,3,220.80000000,71.5
2,4,168.30000000,47.0
2,5,161.60000000,48.5
2,6,176.30000000,54.0
2,7,177.20000000,49.5
2,8,205.30000000,63.0
2,9,254.40000000,84.0
2,10,214.90000000,65.0
3,0,242.40000000,79.0
3,1,245.10000000,80.5
3,2,294.80000000,90.5
3,3,321.00000000,105.0
3,4,311.60000000,95.5
3,5,212.70000000,61.0
3,6,177.80000000,50.5
3,7,271.40000000,81.0
3,8,210.90000000,60.5
3,9,252.90000000,64.0
3,10,276.80000000,79.0
4,0,278.90000000,97.5
4,1,247.40000000,87.0
4,2,192.30000000,61.0
4,3,198.10000000,62.0
4,4,260.20000000,79.0
4,5,281.90000000,86.5
4,6,208.70000000,60.5
4,7,278.80000000,87.0
4,8,201.00000000,58.0
4,9,218.90000000,65.5
4,10,220.90000000,62.5
5,0,197.30000000,66.0
5,1,258.20000000,91.5
5,2,251.00000000,64.5
5,3,221.60000000,66.5
5,4,153.80000000,44.0
5,5,170.10000000,49.5
5,6,190.80000000,61.0
5,7,159.90000000,39.0
5,8,133.80000000,40.5
5,9,254.20000000,88.5
5,10,231.00000000,71.5
6,0,230.60000000,74.5
6,1,261.50000000,90.5
6,2,266.00000000,87.5
6,3,230.30000000,72.0
6,4,237.50000000,74.5
6,5,283.50000000,93.5
6,6,215.80000000,69.5
6,7,232.90000000,75.0
6,8,252.50000000,79.0
6,9,201.60000000,56.0
6,10,190.70000000,49.5
7,0,238.10000000,78.5
7,1,226.70000000,68.5
7,2,250.60000000,82.0
7,3,209.10000000,67.0
7,4,233.80000000,77.0
7,5,287.70000000,90.0
7,6,251.40000000,81.0
7,7,199.90000000,63.5
7,8,181.70000000,53.0
7,9,182.60000000,54.5
7,10,162.50000000,52.0
8,0,250.50000000,76.0
8,1,245.60000000,80.0
8,2,248.60000000,82.0
8,3,169.20000000,50.5
8,4,285.80000000,78.0
8,5,237.80000000,75.5
8,6,262.10000000,78.5
8,7,236.10000000,71.5
8,8,212.40000000,64.5
8,9,273.80000000,84.5
8,10,224.80000000,65.5
9,0,234.90000000,78.0
9,1,276.70000000,95.5
9,2,263.00000000,80.0
9,3,259.60000000,86.5
9,4,231.30000000,75.0
9,5,225.30000000,71.5
9,6,253.20000000,83.5
9,7,250.90000000,75.5
9,8,230.50000000,74.5
9,9,251.40000000,79.0
9,10,276.50000000,89.0
10,0,251.90000000,88.0
10,1,232.30000000,79.5
10,2,201.20000000,66.5
10,3,204.00000000,67.5
10,4,228.50000000,76.0
10,5,253.80000000,85.5
10,6,251.70000000,80.0
10,7,212.80000000,68.0
10,8,149.10000000,44.5
10,9,247.10000000,75.0
10,10,240.80000000,83.0
